Date,Time,Voltage,Current,Power_Consumption,Power_Factor,Frequency,Energy_Consumed,Device_Status
2026-03-01,08:00:00,232.4,1.91,377.3,0.85,49.89,0.744,OFF
2026-03-01,09:00:00,233.7,16.22,3108.3,0.82,49.97,1.739,ON
2026-03-01,10:00:00,217.7,9.84,1735.16,0.81,49.88,3.123,ON
2026-03-01,11:00:00,229.1,5.14,1071.59,0.91,50.12,0.55,ON
2026-03-01,12:00:00,238.2,13.02,2667.17,0.86,49.86,6.44,ON
2026-03-01,13:00:00,221.8,3.03,551.08,0.82,50.14,0.941,ON
2026-03-01,14:00:00,238.2,13.54,2902.71,0.9,50.19,3.649,ON
2026-03-01,15:00:00,229.3,15.19,3204.42,0.92,50.14,5.302,ON
2026-03-01,16:00:00,234.7,2.26,445.55,0.84,49.92,0.294,ON
2026-03-01,17:00:00,218.1,3.17,587.67,0.85,50.05,0.723,ON
2026-03-01,18:00:00,223.0,4.96,940.17,0.85,50.17,1.689,ON
2026-03-01,19:00:00,231.3,4.32,939.26,0.94,49.87,1.182,ON
2026-03-01,20:00:00,244.6,12.06,2684.39,0.91,50.07,5.867,ON
2026-03-01,21:00:00,237.2,5.28,1014.46,0.81,49.93,1.05,ON
2026-03-01,22:00:00,217.4,17.06,3597.58,0.97,49.93,6.515,ON
2026-03-01,23:00:00,223.8,16.59,3304.43,0.89,49.91,3.282,ON
2026-03-02,00:00:00,229.6,5.84,1220.19,0.91,50.16,1.585,ON
2026-03-02,01:00:00,217.7,17.96,3518.9,0.9,49.84,2.091,ON
2026-03-02,02:00:00,213.8,11.85,2406.85,0.95,49.97,1.509,ON
2026-03-02,03:00:00,223.4,17.94,3607.02,0.9,50.19,8.013,ON
2026-03-02,04:00:00,210.4,13.39,2620.05,0.93,50.01,2.708,ON
2026-03-02,05:00:00,232.4,3.34,683.07,0.88,49.98,1.645,ON
2026-03-02,06:00:00,240.7,5.85,1267.29,0.9,49.87,2.947,ON
2026-03-02,07:00:00,240.5,6.42,1420.49,0.92,50.04,1.144,ON
2026-03-02,08:00:00,236.7,10.4,2338.6,0.95,50.01,1.172,ON
2026-03-02,09:00:00,221.3,1.82,394.71,0.98,50.15,0.854,OFF
2026-03-02,10:00:00,220.8,2.46,526.87,0.97,50.18,0.354,ON
2026-03-02,11:00:00,227.0,2.64,563.32,0.94,50.11,0.426,ON
2026-03-02,12:00:00,226.6,10.57,2035.89,0.85,50.15,2.741,ON
2026-03-02,13:00:00,217.4,10.4,2125.3,0.94,49.88,2.388,ON
2026-03-02,14:00:00,244.8,12.22,2632.48,0.88,50.01,1.953,ON
2026-03-02,15:00:00,217.9,7.08,1403.89,0.91,49.89,1.32,ON
2026-03-02,16:00:00,212.5,11.91,2125.93,0.84,50.16,4.718,ON
2026-03-02,17:00:00,212.5,5.43,1073.1,0.93,49.89,0.821,ON
2026-03-02,18:00:00,242.7,10.92,2358.75,0.89,50.11,4.989,ON
2026-03-02,19:00:00,216.7,3.1,591.16,0.88,49.97,0.848,ON
2026-03-02,20:00:00,235.5,12.61,2939.96,0.99,49.84,3.837,ON
2026-03-02,21:00:00,221.9,15.72,2965.03,0.85,49.88,4.143,ON
2026-03-02,22:00:00,224.8,6.1,1165.59,0.85,50.17,1.616,ON
2026-03-02,23:00:00,240.1,10.58,2057.61,0.81,50.2,4.469,ON
2026-03-03,00:00:00,243.9,16.79,3931.28,0.96,49.87,5.784,ON
2026-03-03,01:00:00,217.5,8.12,1430.54,0.81,49.95,3.534,ON
2026-03-03,02:00:00,219.3,14.44,2818.36,0.89,49.97,6.805,ON
2026-03-03,03:00:00,244.8,10.67,2455.3,0.94,49.86,2.685,ON
2026-03-03,04:00:00,243.9,11.06,2427.78,0.9,50.1,1.491,ON
2026-03-03,05:00:00,230.4,9.8,2167.6,0.96,49.86,5.249,ON
2026-03-03,06:00:00,212.8,4.57,884.97,0.91,50.07,0.859,ON
2026-03-03,07:00:00,214.2,16.19,2947.71,0.85,50.04,5.125,ON
2026-03-03,08:00:00,224.7,11.13,2250.82,0.9,50.17,2.045,ON
2026-03-03,09:00:00,235.1,5.44,1125.47,0.88,50.07,1.238,ON
2026-03-03,10:00:00,221.1,13.91,2491.16,0.81,49.98,6.22,ON
2026-03-03,11:00:00,244.9,2.71,557.49,0.84,49.91,1.319,ON
2026-03-03,12:00:00,240.8,16.01,3354.03,0.87,49.86,7.27,ON
2026-03-03,13:00:00,234.6,11.59,2691.82,0.99,50.06,1.388,ON
2026-03-03,14:00:00,238.6,6.44,1429.02,0.93,50.18,1.098,ON
2026-03-03,15:00:00,214.0,3.27,636.8,0.91,49.91,1.089,ON
2026-03-03,16:00:00,235.1,4.86,1051.18,0.92,49.91,1.553,ON
2026-03-03,17:00:00,241.7,15.46,3064.08,0.82,49.97,3.228,ON
2026-03-03,18:00:00,210.1,14.22,2748.61,0.92,49.9,5.449,ON
2026-03-03,19:00:00,229.3,8.56,1570.25,0.8,49.83,3.559,ON
2026-03-03,20:00:00,241.6,10.5,2435.33,0.96,50.03,1.939,ON
2026-03-03,21:00:00,214.5,6.59,1371.15,0.97,50.12,3.046,ON
2026-03-03,22:00:00,241.5,4.97,1020.22,0.85,49.84,2.102,ON
2026-03-03,23:00:00,240.9,8.21,1819.57,0.92,49.86,4.294,ON
2026-03-04,00:00:00,240.3,17.61,4020.1,0.95,50.15,2.209,ON
2026-03-04,01:00:00,235.8,6.98,1612.97,0.98,50.12,3.594,ON
2026-03-04,02:00:00,238.4,5.9,1336.23,0.95,49.84,2.999,ON
2026-03-04,03:00:00,240.1,5.17,1191.66,0.96,49.98,1.323,ON
2026-03-04,04:00:00,237.8,5.26,1000.66,0.8,49.88,1.157,ON
2026-03-04,05:00:00,240.3,17.45,3564.25,0.85,50.06,4.631,ON
2026-03-04,06:00:00,244.3,10.35,2477.93,0.98,49.85,6.048,ON
2026-03-04,07:00:00,216.2,17.38,3193.92,0.85,49.84,4.373,ON
2026-03-04,08:00:00,235.5,6.68,1447.29,0.92,50.0,1.839,ON
2026-03-04,09:00:00,230.2,5.7,1220.29,0.93,49.8,2.869,ON
2026-03-04,10:00:00,228.8,13.37,2875.51,0.94,50.07,3.532,ON
2026-03-04,11:00:00,212.4,12.46,2275.99,0.86,49.93,4.998,ON
2026-03-04,12:00:00,235.2,6.46,1306.68,0.86,49.96,1.705,ON
2026-03-04,13:00:00,220.3,3.6,697.91,0.88,50.18,1.294,ON
2026-03-04,14:00:00,241.6,11.66,2422.67,0.86,50.02,1.213,ON
2026-03-04,15:00:00,220.0,8.59,1719.72,0.91,50.06,2.459,ON
2026-03-04,16:00:00,225.5,5.03,1009.5,0.89,50.16,2.112,ON
2026-03-04,17:00:00,215.9,2.9,563.5,0.9,50.05,0.66,ON
2026-03-04,18:00:00,238.6,13.89,3082.16,0.93,49.89,2.769,ON
2026-03-04,19:00:00,210.9,5.54,1039.86,0.89,50.14,0.671,ON
2026-03-04,20:00:00,224.5,11.89,2242.22,0.84,50.08,3.338,ON
